ESTABLECIMIENTO,LON,LAT
EPMSC OCANA,-73.3586821,8.2400858
EPMSC PACORA,-75.4592567,5.5175432
EPMSC PAMPLONA,-72.6546156,7.3678216
EPMSC PENSILVANIA,-75.1618856,5.3783219
EPMSC PEREIRA (ERE),-75.7137454,4.8161523
EPMSC PITALITO,-76.0623863,1.849305998
EPMSC PUERTO BERRIO,-74.4051754,6.4903671
EPMSC PUERTO BOYACA,-74.5943429,5.9751778
EPMSC PUERTO TEJADA,-76.4195225,3.2299862
EPMSC QUIBDO,-76.6567404,5.6900037
EPMSC RIOHACHA,-72.9191263,11.5483356
EPMSC RIOSUCIO,-75.7027853,5.4191576
EPMSC ROLDANILLO,-76.1544149,4.4113974
EPMSC SALAMINA,-75.4891205,5.395491
EPMSC SAN ANDRES,-81.7246127,12.5560401
EPMSC SANTA BARBARA,-75.5656895,5.8765738
EPMSC SANTA MARTA,-74.1984657,11.2361247
EPMSC SANTA ROSA DE CABAL,-75.6231022,4.8665156
EPMSC SANTA ROSA DE OSOS,-75.4654848,6.6468644
EPMSC SANTA ROSA DE VITERBO (JYP-MUJERES),-72.9692281,5.891859298
EPMSC SANTANDER DE QUILICHAO,-76.4944339,3.0192867
EPMSC SEVILLA,-75.9334284,4.2737953
EPMSC SILVIA,-76.3818764,2.6093241
EPMSC SINCELEJO,-75.3964475,9.3194507
EPMSC SOCORRO,-73.2384601,6.5002276
EPMSC SOGAMOSO,-72.9337102,5.703175898
EPMSC SONSON,-75.3094634,5.7136939
EPMSC TAMESIS,-75.7128838,5.6621715
EPMSC TIERRAALTA,-76.1674619,8.0276466
EPMSC TITIRIBI,-75.7933339,6.0635474
EPMSC TUMACO,-78.7698699,1.7063405
EPMSC TUQUERRES,-77.6136446,1.0815339
EPMSC VALLEDUPAR,-73.2558918,10.4641904
EPMSC VELEZ,-73.670348,6.0188933
EPMSC VILLAVICENCIO,-73.6253553,4.144545898
EPMSC VILLETA,-74.4702163,5.010635498
EPMSC YARUMAL,-75.4180889,6.9622379
EPMSC ZIPAQUIRA,-74.0026563,5.025180198
EPMSC-RM PASTO,-77.2713786,1.2231393
ERE COROZAL,-75.2926219,9.3169124
RM ARMENIA,-75.6925365,4.5215728
RM BOGOTA,-74.0723106,4.682237798
RM BUCARAMANGA,-73.1632778,7.0982736
RM CALI,-76.5053263,3.256622
RM CUCUTA,-72.4913254,7.9410117
RM DE JAMUNDI,-76.5053263,3.256622
RM GUAMO,-74.967705,4.031889
RM MANIZALES,-75.5235412,5.0551527
RM MEDELLIN,-75.543839,6.330406
RM PEDREGAL MEDELLIN,-75.62758,6.283637
RM PEREIRA,-75.6967664,4.8239835
RM PICALEÑA,-75.150698,4.404144
RM POPAYAN,-76.6060996,2.432518
